"","prey","svspp","year","mean","lci","uci"
"721","all",76,1973,40478963600.4017,12415768758.5324,75080761923.8649
"722","all",76,1974,34103594673.6677,7127714302.93038,79939623321.0525
"723","all",76,1975,NA,0,0
"724","all",76,1976,53853194256.5915,15040905197.4825,114572077648.417
"725","all",76,1977,0,0,0
"726","all",76,1978,16183023272.5318,2562530074.10527,40346654573.4532
"727","all",76,1979,5840590859.38212,530610174.389691,33623769032.6307
"728","all",76,1980,29815340340.6958,6252109646.2023,77445345919.485
"729","all",76,1981,249827897300.872,50992473457.6798,706236596048.353
"730","all",76,1982,17135668214.4904,4179130241.21377,38667785172.4906
"731","all",76,1983,127015066373.9,10811751193.3847,430675047998.312
"732","all",76,1984,68912693484.5592,11597077983.4908,177391448463.23
"733","all",76,1985,55473237970.7881,14419569863.9122,184702892561.869
"734","all",76,1986,57240285847.7515,9012551921.54239,145407790304.004
"735","all",76,1987,52165403762.937,13819260434.9537,141794222697.551
"736","all",76,1988,32739588479.6045,9248545658.93666,83712954476.0047
"737","all",76,1989,29708871864.2252,6414832106.33226,88721761531.646
"738","all",76,1990,41109716450.2325,9939446783.98511,107401457475.228
"739","all",76,1991,41438472871.0111,8143234020.33206,108405097637.352
"740","all",76,1992,73074472475.8766,19623675554.5067,239466851737.356
"741","all",76,1993,30110442093.9735,7462984332.8838,76406042136.6091
"742","all",76,1994,78296574702.1342,13391733614.6081,224468483405.928
"743","all",76,1995,37141359146.8807,12579231889.3523,74951172033.6302
"744","all",76,1996,34493271082.6254,7173824023.562,83505736453.8553
"745","all",76,1997,15823235520.5807,5586313077.14449,43173309346.1535
"746","all",76,1998,20035066933.8005,3697958269.91605,48784934601.7664
"747","all",76,1999,21067951866.4945,7295687524.22387,43965767390.1708
"748","all",76,2000,30629968087.1097,8726157569.22046,61670502679.6019
"749","all",76,2001,42164990648.6565,10186785085.217,95658006070.5123
"750","all",76,2002,35978337486.3551,10775223546.5675,74005354454.5048
"751","all",76,2003,25502266310.575,6064629085.65841,59627254960.5032
"752","all",76,2004,16277822827.2475,4003993234.18909,31733077026.0985
"753","all",76,2005,10893372711.6447,2985787655.89953,24275202433.0774
"754","all",76,2006,13138674141.5869,3556242046.75367,36098454587.0427
"755","all",76,2007,54653833162.3291,11085409313.526,172136159756.204
"756","all",76,2008,21756910868.2483,6362145865.26952,47944038311.1062
"757","all",76,2009,28066262526.7317,7537927541.02378,77435977717.6843
"758","all",76,2010,48144801995.8318,16785600442.4216,104661084113.734
"759","all",76,2011,46935768358.4108,14139076462.5465,128387619095.412
"760","all",76,2012,42495194175.8789,10710071328.3967,104271348452.629
"761","all",76,2013,16187522422.1601,3965652163.77966,35954823129.3534
"762","all",76,2014,22258978530.5998,5336096501.82556,74547174266.8067
"763","all",76,2015,29023821694.1174,10545030114.27,85910179303.194
"764","all",76,2016,28113316582.2129,8009384846.21629,68360763397.434
"765","all",76,2017,44781567694.8404,10869872712.0514,129900751958.524
"766","all",76,2018,13638747261.2153,2492499533.35858,42933974475.4467
"767","all",76,2019,28226380735.0827,5595740078.91198,84516989893.4899
"768","all",76,2020,NA,0,0
"769","all",77,1973,2933017259.28563,635842091.160335,7752719202.86739
"770","all",77,1974,40168259220.9572,10094078306.2519,103956589452.492
"771","all",77,1975,11309095726.0062,371469501.468117,37514818366.3098
"772","all",77,1976,23404819949.8692,4416234263.6712,65122551137.7905
"773","all",77,1977,10833221577.7929,2441264840.47345,29471367075.0924
"774","all",77,1978,18563111788.57,4173443252.9487,58901421136.7693
"775","all",77,1979,31426857483.5611,8757199980.58409,82862680010.3577
"776","all",77,1980,50265704618.8381,10566559636.6224,150137618699.899
"777","all",77,1981,29884436927.9281,5445659292.62633,100542301392.6
"778","all",77,1982,45325549475.9969,13081751635.7697,114038692770.509
"779","all",77,1983,309103544183.375,31367005286.1583,1026471808909.21
"780","all",77,1984,26727884868.7211,6655648981.83418,63719096141.3818
"781","all",77,1985,111291259415.58,20508490075.7406,251262678809.878
"782","all",77,1986,37212599206.1276,4716447313.78809,117944714833.858
"783","all",77,1987,26336632034.1659,6255504062.88025,73434101786.152
"784","all",77,1988,63511734378.0464,6816253388.44017,206110366814.867
"785","all",77,1989,28459950075.9081,3645375779.68027,80479792143.052
"786","all",77,1990,45717626601.1422,10723597585.2617,104634826627.324
"787","all",77,1991,27152927576.6555,8552076916.65587,56557911299.7986
"788","all",77,1992,18381267572.0709,2928356603.99011,61311870909.0019
"789","all",77,1993,14687971997.8216,4228501604.59633,46115821814.483
"790","all",77,1994,20639569662.8543,4431238227.75868,40271240308.9739
"791","all",77,1995,35514820961.3247,7948025602.3654,105535504831.478
"792","all",77,1996,5820052732.16313,50729.6195617643,39306707547.6311
"793","all",77,1997,26074432891.1362,5126570166.18035,83761084212.4209
"794","all",77,1998,20259469362.0594,4670224804.0224,62596738496.4575
"795","all",77,1999,71154452048.4704,9330950551.87774,296213057019.898
"796","all",77,2000,41759250900.7775,7852639800.47615,143148528893.702
"797","all",77,2001,72035458769.6063,9956304402.34278,271179568755.287
"798","all",77,2002,35933673985.334,12741143555.9245,86698872970.9801
"799","all",77,2003,19142228460.0407,1283769043.91094,60210892266.2365
"800","all",77,2004,14402910894.6466,2066461553.02783,45481147110.6563
"801","all",77,2005,12571051630.4735,2367300324.84538,34398909852.7977
"802","all",77,2006,16084423339.0941,2949817048.84104,44065539388.1911
"803","all",77,2007,24299575137.9539,4875904371.91142,67181773722.1091
"804","all",77,2008,4270600776.75421,1061713627.20628,11446953544.838
"805","all",77,2009,11394800884.1081,1880247209.86896,25404129600.4973
"806","all",77,2010,19678829094.5639,2507031078.74363,62617121789.8523
"807","all",77,2011,9123428547.40779,1562067911.55083,30327810138.4392
"808","all",77,2012,14747034274.944,2713560226.03825,44820989084.8232
"809","all",77,2013,7358465941.90733,1531353200.81126,28044738714.1681
"810","all",77,2014,20740004544.524,3864937211.32553,56499425780.0128
"811","all",77,2015,12278205293.4402,3085603970.65412,36742744840.1736
"812","all",77,2016,17766561418.615,5576371193.97036,41098014882.4387
"813","all",77,2017,19375784112.8642,2504769764.46071,72379227300.4103
"814","all",77,2018,15448101096.6501,3795284202.57269,39896063026.9943
"815","all",77,2019,10534859643.6763,2445874063.77445,22183835094.3412
"816","all",77,2020,NA,0,0
"1","all",103,1973,NA,0,0
"2","all",103,1974,NA,0,0
"3","all",103,1975,NA,0,0
"4","all",103,1976,NA,0,0
"5","all",103,1977,4088641427.34876,434631851.129562,12804536436.0209
"6","all",103,1978,850049928.406787,182375696.107637,3189190165.44687
"7","all",103,1979,9995552644.85001,1480590426.41477,28917783468.3965
"8","all",103,1980,4984764690.74828,216558386.973052,16708160059.0957
"9","all",103,1981,13872772956.6153,1091203472.70421,69225866796.8368
"10","all",103,1982,9745888074.60148,1125022151.41952,32860894704.3529
"11","all",103,1983,NA,0,0
"12","all",103,1984,0,0,0
"13","all",103,1985,3405452867.70066,723719152.911818,11548939346.9617
"14","all",103,1986,2034548560.06912,359627267.88497,7497059002.52005
"15","all",103,1987,1898614987.44528,276882644.957491,6714301673.36067
"16","all",103,1988,996593068.836084,77702736.3415387,3392837503.18812
"17","all",103,1989,1016929951.28976,143168233.18856,2755156363.26802
"18","all",103,1990,2723693061.15986,372777899.422783,7968249486.72682
"19","all",103,1991,1223640554.33744,229491006.265337,3635866573.36581
"20","all",103,1992,2338773571.60439,481445742.749943,6317321508.41299
"21","all",103,1993,1883192620.88219,346933399.816545,5418162087.74768
"22","all",103,1994,332878778.54341,48412481.1091857,939254738.43222
"23","all",103,1995,1857970312.29097,420430420.845932,5617922192.38839
"24","all",103,1996,2374893418.42135,354166105.864209,8153255240.44756
"25","all",103,1997,2088731883.83065,411476778.939288,7264601601.57081
"26","all",103,1998,7224546090.35087,1203222054.17891,24616169083.0018
"27","all",103,1999,4882802375.66218,882667404.530805,16018893781.9529
"28","all",103,2000,6073307275.48287,1818827358.80078,16694622031.821
"29","all",103,2001,7401648541.81403,1521755128.87056,24551314553.0759
"30","all",103,2002,11312894765.6255,2018764060.63618,32743806878.6346
"31","all",103,2003,10876091842.6575,2448314294.84589,46924891014.3814
"32","all",103,2004,7120528974.08918,1340118098.45497,37055298327.289
"33","all",103,2005,15239609409.9428,2591803179.20956,49832959665.3969
"34","all",103,2006,14101699331.656,3185390491.84184,33554932132.6431
"35","all",103,2007,7856175114.82317,1703961796.52414,26538000253.9274
"36","all",103,2008,6026948381.34644,824531645.16935,25162784247.1901
"37","all",103,2009,6954403223.54509,1871000790.21436,22619190612.7325
"38","all",103,2010,3015927699.72589,563828728.503049,8478913555.99053
"39","all",103,2011,7505365601.31775,1085230396.10551,23611456389.1687
"40","all",103,2012,4820184630.02389,1221957501.85581,12468244984.2187
"41","all",103,2013,4893455557.89262,1066432375.92193,16610219219.2861
"42","all",103,2014,4642726745.41653,820635384.978727,11635836191.2116
"43","all",103,2015,6007308305.67148,920907589.60287,18967045407.4471
"44","all",103,2016,5789145320.89469,1184523867.70893,17838564277.0685
"45","all",103,2017,106456504.474568,20948943.5305783,398167293.843874
"46","all",103,2018,4807242746.47385,861679653.290362,12701092390.1103
"47","all",103,2019,2633780296.45854,340901355.925879,8527322822.9491
"48","all",103,2020,NA,0,0
"49","all",104,1973,916996130.701068,131037755.621368,2360426451.77569
"50","all",104,1974,634932459.721216,174451609.948909,1585048883.8785
"51","all",104,1975,2091272050.69185,454427753.316354,6184559270.37503
"52","all",104,1976,1178221231.81491,261815277.170973,2824386343.74403
"53","all",104,1977,NA,0,0
"54","all",104,1978,1320008920.39357,233042290.621047,3514866111.65104
"55","all",104,1979,712181715.842953,134727567.794897,2294106902.88501
"56","all",104,1980,0,0,0
"57","all",104,1981,22666047256.8698,4331949545.82094,70761509110.142
"58","all",104,1982,NA,0,0
"59","all",104,1983,NA,0,0
"60","all",104,1984,NA,0,0
